epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,251.646,1.39499,0.96767,2.00837,0.9518,0.96389,0.98976,0.62162,1.20986,0.73311,2.1013,0.00141615,0.00141615,0.00141615
154,253.041,1.28575,0.99107,1.99341,0.96546,0.91288,0.959,0.61145,1.30485,0.72904,2.34172,0.0014145,0.0014145,0.0014145
155,254.48,1.30805,0.96445,2.04377,0.93286,0.85213,0.95865,0.5545,1.44671,0.88113,2.51096,0.00141285,0.00141285,0.00141285
156,255.969,1.23258,0.9265,1.86478,0.9264,0.91306,0.98655,0.62564,1.20943,0.80791,2.22207,0.0014112,0.0014112,0.0014112
157,257.216,1.39759,1.06597,1.96095,0.96059,0.97041,0.98573,0.67465,1.19359,0.90453,2.15566,0.00140955,0.00140955,0.00140955
158,258.634,1.32757,0.92114,1.98138,0.95254,0.9617,0.99083,0.62491,1.12439,0.7392,1.97232,0.0014079,0.0014079,0.0014079
159,259.937,1.31871,0.90178,1.88376,0.93606,0.86558,0.96973,0.63227,1.27585,0.79477,2.14082,0.00140625,0.00140625,0.00140625
160,261.328,1.40414,0.94739,2.03059,0.96512,0.98338,0.99368,0.6469,1.37961,0.72968,2.31661,0.0014046,0.0014046,0.0014046
161,262.75,1.35198,0.93941,1.96786,0.95783,1,0.995,0.68111,1.12468,0.70493,1.95001,0.00140295,0.00140295,0.00140295
162,264.104,1.34337,0.93744,1.98414,0.85432,0.95752,0.97037,0.64591,1.27003,0.78941,2.17343,0.0014013,0.0014013,0.0014013
163,265.501,1.15597,0.98464,1.83196,0.84788,0.80556,0.91913,0.57775,1.46456,1.02128,2.48238,0.00139965,0.00139965,0.00139965
164,266.913,1.21823,0.86819,1.9055,0.85813,0.97222,0.98179,0.58953,1.21739,0.85591,2.06039,0.001398,0.001398,0.001398
165,268.335,1.21518,1.01599,1.84323,0.98342,0.84161,0.96301,0.6283,1.2524,0.87005,2.19296,0.00139635,0.00139635,0.00139635
166,269.709,1.32938,0.92331,1.90605,0.93929,0.88889,0.97262,0.59858,1.34349,0.9038,2.3142,0.0013947,0.0013947,0.0013947
167,271.173,1.2299,0.92174,1.89821,0.76667,0.81522,0.88544,0.49212,1.42891,1.2573,2.39804,0.00139305,0.00139305,0.00139305
168,272.609,1.17643,0.93706,1.91951,0.79412,0.97978,0.94232,0.64963,1.1959,0.69369,2.02355,0.00139139,0.00139139,0.00139139
169,273.957,1.15616,0.89992,1.83863,0.85447,0.96295,0.96241,0.65978,1.10347,0.76746,1.93381,0.00138974,0.00138974,0.00138974
170,275.395,1.2091,0.89699,1.90323,0.90987,0.88956,0.94468,0.60487,1.17284,0.85729,2.06643,0.00138809,0.00138809,0.00138809
171,276.789,1.17424,0.85781,1.79709,0.87609,0.91085,0.94123,0.62409,1.17148,0.7923,2.13081,0.00138644,0.00138644,0.00138644
172,278.157,1.20295,0.8702,1.7326,0.94231,0.8003,0.90711,0.56536,1.20369,0.95574,2.23311,0.00138479,0.00138479,0.00138479
173,279.636,1.25113,0.94695,1.91682,0.9173,0.80556,0.90394,0.55602,1.16148,0.88427,2.117,0.00138314,0.00138314,0.00138314
174,280.975,1.09791,0.81078,1.77133,0.90581,0.89419,0.9504,0.62925,1.15095,0.82469,2.00001,0.00138149,0.00138149,0.00138149
